country,year,indicator,hh,hh_lo,hh_hi,plot,plot_lo,plot_hi,area,area_lo,area_hi,n_plot,n_hh
Tanzania,2013,parcel_purchased,,,,,,,,,,0,0
Tanzania,2013,parcel_certificate,0.1155904298607773,0.1034331512638341,0.12774770845772052,0.11231875965579621,0.09835451831055927,0.12628300100103315,0.1520872680792722,0.12748942969667276,0.17668510646187163,9155,5010
Tanzania,2015,parcel_rentedin,0.09344164976672248,0.0786519264275525,0.10823137310589245,0.06285818513093137,0.052240123229802995,0.07347624703205975,0.05809312362199888,0.04294006733525759,0.07324617990874016,7263,4341
Tanzania,2015,parcel_rentedout,0.011855321633012316,0.006603404835603976,0.017107238430420658,0.006813067930320591,0.003855068969105182,0.009771066891536,0.011378619711710053,0.004321625914649354,0.01843561350877075,7263,4341
Tanzania,2015,parcel_purchased,0.28820759945038316,0.258316144806602,0.31809905409416434,0.2474752572938934,0.22223650458231958,0.27271401000546724,0.39652361029410627,0.3502268172016666,0.44282040338654594,7263,4341
Tanzania,2015,parcel_certificate,0.14642494898191,0.1274137243855521,0.1654361735782679,0.1430947393277256,0.12169434697141392,0.16449513168403726,0.18335708014338473,0.14968571213207388,0.21702844815469557,7263,4341
Tanzania,2019,parcel_rentedin,0.15214862255782108,0.13228907084292305,0.1720081742727191,0.07885747790044101,0.06734759861586495,0.09036735718501707,0.051240489516438385,0.04159919933823173,0.06088177969464504,8865,4016
Tanzania,2019,parcel_rentedout,0.02892307426438294,0.016328465018880467,0.04151768350988541,0.013700387654756155,0.007957797336907917,0.019442977972604393,0.03030498862808078,0.00412996026957135,0.056480016986590206,8865,4016
Tanzania,2019,parcel_purchased,0.4315130161411857,0.3979537803990839,0.4650722518832875,0.2879924661545788,0.260056405471714,0.3159285268374436,0.4317477529422294,0.3737046452997333,0.4897908605847255,8865,4016
Tanzania,2019,parcel_certificate,0.2183408888679355,0.19340620195592176,0.24327557577994927,0.14288952491928322,0.12199778321579245,0.163781266622774,0.18079511382884977,0.14473137031521624,0.2168588573424833,8864,4015
Uganda,2009,parcel_rentedin,0.21444402071245225,0.18885453668280022,0.24003350474210428,0.11891319844827511,0.10522232302037436,0.13260407387617584,0.06164492412453006,0.04961923467976988,0.07367061356929024,5820,2343
Uganda,2009,parcel_rentedout,0.029505710285561454,0.0209566206339314,0.038054799937191505,0.013360380795353772,0.009636099679105423,0.01708466191160212,0.02161819618013925,0.005861276631822121,0.03737511572845638,5820,2343
Uganda,2009,parcel_purchased,0.37938831908296483,0.3420036688129939,0.4167729693529358,0.2646231684727729,0.2409619306491435,0.2882844062964023,0.2585432204580454,0.21549354344367458,0.3015928974724162,5710,2327
Uganda,2009,parcel_certificate,0.22557597061027462,0.1898482245769313,0.26130371664361796,0.1565555444893089,0.12725478889748423,0.18585630008113355,0.24155014467491145,0.1785172083684309,0.304583080981392,5692,2324
Uganda,2010,parcel_rentedin,0.20209394537079908,0.1754477889050621,0.22874010183653606,0.1257226759916233,0.10873444306192215,0.14271090892132443,0.06577147026075528,0.04328578449269316,0.0882571560288174,4520,2135
Uganda,2010,parcel_rentedout,0.00387286883260673,0.0009542715081719074,0.006791466157041553,0.0019411739491949393,0.0005080092454474705,0.0033743386529424078,0.004116225689902196,0.00010944656247136551,0.008123004817333027,4520,2135
Uganda,2010,parcel_purchased,0.35046739946344535,0.3231578165671354,0.3777769823597553,0.2419577611926298,0.2190906123912698,0.2648249099939898,0.23714464201313126,0.194715071612839,0.2795742124134235,4515,2134
Uganda,2010,parcel_certificate,0.16848265496932985,0.14347174877172786,0.19349356116693184,0.10460667969514911,0.08735223013665042,0.12186112925364781,0.16230184347573207,0.12242331121292668,0.20218037573853745,4487,2122
Uganda,2011,parcel_rentedin,0.13648706534137822,0.11085803684569082,0.16211609383706563,0.08463674402180021,0.07022009767250799,0.09905339037109244,0.04837093118432552,0.034276600582650196,0.06246526178600084,4718,2196
Uganda,2011,parcel_rentedout,0.012190778320701732,0.006812752784817838,0.017568803856585626,0.006264460638053597,0.0033784889773957076,0.009150432298711486,0.017481826258432427,-0.002984453324396296,0.037948105841261154,4718,2196
Uganda,2011,parcel_purchased,0.2983917250236856,0.24875041680668322,0.348033033240688,0.21128017220388234,0.1768439614637215,0.2457163829440432,0.24560944359254136,0.19129832351417075,0.29992056367091197,4718,2196
